Obstacle Density;Mobility (m/s);Frequency (GHz);Transmit Power (dBm);Number of Antennas;Codebook Size;Bandwidth (MHz);Interference Level (dB);SIFT Keypoints;Beamforming Gain (dB);Latency (ms);Energy Consumption (kWh/Gb);Throughput (Mbps);Beam Training Time (s);SNR Improvement (dB);Processing Time (ms);Memory Usage (MB);Environment_Outdoor;Device Type_IoT Sensor;Device Type_Smartphone;Optimized
9;0.544315043;100;32.82327512;64;64;200;-84.22232628;419;10.49984799;9.930177234;0.034918916;707.5419601;0.194279355;12.1773629;1.54183446;189;True;False;False;0
1;1.575490151;150;18.49425606;256;64;100;-60.5527438;450;23.69181078;6.873520616;0.010271422;981.1930548;0.185694708;13.0640856;4.288895999;426;True;True;False;0
4;2.127138785;60;21.39047891;64;32;50;-65.91072511;279;11.77543342;1.55168915;0.01173825;740.7576893;0.187701331;12.3787463;4.687629555;324;False;True;False;0
9;0.320630769;60;26.95284577;128;128;50;-55.56237581;389;19.68638767;5.730214367;0.0461592;543.9191463;0.079350664;17.03627431;4.163019347;504;True;False;False;0
4;1.701936659;150;23.57553577;512;32;400;-65.37429936;476;13.75123703;5.469806912;0.031102549;871.5950412;0.111059282;15.05604337;1.802979797;186;False;False;False;0
3;0.769688351;100;18.67214941;256;128;50;-87.82358306;262;22.54828587;2.297510342;0.039436079;194.0256872;0.191284815;6.899876989;2.646084878;392;False;True;False;0
9;2.888780626;60;20.89111976;128;64;200;-53.41703751;370;17.68450541;9.282451319;0.04354004;504.3662388;0.181445751;10.19676961;3.403369703;460;True;True;False;0
2;1.45063694;60;29.86202045;256;256;100;-94.75821264;475;12.02861787;4.966887229;0.047983471;358.3981998;0.16014645;10.08615273;1.641173895;315;True;False;False;0
4;2.417977649;60;16.95322889;256;128;100;-86.60286249;195;18.56487357;9.951032265;0.044774114;194.1740262;0.087393002;13.48448289;1.842409971;190;False;False;True;0
6;1.650679626;100;13.55638099;128;64;100;-73.99026961;361;16.11823915;4.780650657;0.029332458;787.1518762;0.117224452;9.371876265;2.131544288;435;False;True;False;1
2;0.130237599;100;17.82908005;128;64;50;-71.7128987;464;19.92171725;6.471619324;0.023438812;559.7128274;0.16065337;6.759076543;3.038053081;406;True;False;False;0
8;1.899454127;150;31.23835539;512;128;100;-99.23447067;452;23.22854927;1.942862828;0.016179729;601.0918479;0.061872279;14.80523998;3.043219549;157;True;False;False;1
8;2.854210027;100;12.22474287;256;256;400;-60.97136371;387;16.14083697;5.088050414;0.026012859;470.1296691;0.12902538;17.76555408;4.257178077;298;True;False;False;0
1;1.80483546;100;34.79240183;256;64;400;-81.91963408;182;14.34821019;3.148893046;0.024659743;514.3035084;0.167307522;18.97412143;4.012040803;148;False;False;False;0
3;2.457566578;28;23.52507247;128;128;400;-79.67907295;324;10.21772642;8.520083187;0.032382994;204.4156484;0.14441641;19.58867626;4.6549427;426;False;False;True;0
9;2.65261939;150;34.6211436;64;256;50;-59.53152278;322;18.62258557;8.055276264;0.036620376;705.6260419;0.10110132;16.71675269;4.331606891;328;False;False;False;0
5;0.684239316;60;33.47491055;128;256;100;-81.03583041;217;16.03412151;8.417619997;0.049133019;489.2026236;0.121075588;7.095536424;2.015510193;262;False;True;False;0
6;0.63613452;100;21.32034286;256;64;50;-97.63875618;291;15.61973829;7.51248494;0.039135447;835.0908158;0.197848353;17.79667736;2.325187077;399;False;False;True;0
4;1.832942967;60;14.96227687;128;32;100;-91.17801148;178;12.74402982;8.494149013;0.035749941;276.6584801;0.124377681;10.9994011;3.001692975;150;False;False;False;0
2;1.233085409;60;14.12211941;512;32;200;-52.20484138;177;16.45083018;2.807458752;0.023403697;284.5495841;0.159267373;15.94866971;1.057084538;214;True;False;True;0
8;2.519583909;28;15.9997341;64;64;200;-96.47973188;246;24.7666293;5.068393989;0.011380155;681.1836144;0.148054905;12.96902007;4.615608025;158;False;True;False;0
6;2.70006937;100;27.75331601;128;256;50;-82.25343995;206;14.46631231;7.22662192;0.021525005;861.4030811;0.143283217;17.429092;1.17737685;248;False;False;False;0
5;1.060264138;150;16.82374987;512;64;400;-74.84104165;481;18.9955662;6.736532481;0.040737916;524.9780548;0.14611012;11.38258599;2.289765083;196;False;True;False;0
9;0.710611677;100;18.53563174;256;128;50;-75.33595863;370;21.64730322;7.447190346;0.018210878;754.2584819;0.096337853;5.926907161;3.276699165;261;True;False;False;0
1;2.341576546;60;21.2194701;128;32;400;-99.80200285;489;21.23736735;3.018325448;0.038487528;999.3969293;0.100090433;13.35235566;3.071365554;498;False;False;False;1
5;0.824418107;150;32.83081701;256;128;100;-74.94186343;343;14.93161431;1.885912381;0.033191194;991.2390758;0.09889392;7.56935832;3.617839571;442;False;False;False;0
6;2.467842956;100;14.73483545;512;64;400;-80.8113771;172;19.16290125;9.251259203;0.016874275;769.9031585;0.016318375;19.48276449;3.110080701;273;True;False;False;0
5;1.271214761;60;10.12566382;256;64;400;-51.39603323;456;23.06897028;6.04154706;0.020464992;765.6278407;0.055802413;12.90444599;1.916005703;460;False;False;False;0
6;2.002649698;60;11.50241026;512;256;100;-92.0420458;453;10.23171142;2.384433321;0.029852144;322.8569985;0.039367161;13.30338191;1.804312751;390;False;False;True;0
6;0.286605942;28;32.61915854;512;256;200;-82.29229016;125;16.53601535;8.140929237;0.026734988;850.1856684;0.178424552;18.60898569;4.628988276;420;False;False;False;0
7;1.871577974;28;26.18791162;512;256;100;-79.02592575;309;13.36410127;9.23436943;0.041142554;464.5919143;0.06224418;14.36877868;2.055866947;213;False;False;False;0
4;1.355303036;28;16.82601548;128;128;50;-80.46532314;191;15.82948436;2.526071667;0.039376186;965.7945189;0.036304101;9.540940658;2.123908936;143;False;False;True;1
8;1.75982539;60;14.42981253;256;256;50;-66.70845862;224;16.23984412;8.356712097;0.03298298;173.2849198;0.032755717;9.441419254;2.651811584;343;True;False;True;0
7;0.504042623;100;17.35666842;256;64;50;-89.22435712;172;21.20006447;9.399025552;0.042890988;492.256332;0.142998069;12.52367975;1.557753309;243;True;False;True;0
9;2.210621235;28;12.86992318;64;256;50;-88.94642236;222;11.40732809;9.445254403;0.032506782;600.2564389;0.011155829;17.99912343;3.029091378;245;True;False;True;0
7;2.588391233;100;33.53832276;64;32;50;-63.53945257;408;17.68875855;9.227408155;0.04857557;464.6405864;0.099547836;16.92094011;3.660127047;397;False;False;True;0
3;0.6502194;28;29.60515436;64;256;200;-74.98547407;283;18.46292188;5.917789111;0.018688964;289.5212715;0.03258551;19.44110879;4.144001968;470;False;False;True;0
3;0.287143667;150;21.55977942;64;128;200;-79.2422162;286;17.41236405;4.205901855;0.03856528;633.6896399;0.171436042;6.078291843;3.845816967;289;False;False;False;1
8;0.070915758;150;31.62406513;256;32;400;-91.53984742;297;20.9780988;1.065455269;0.024797765;780.3261232;0.192105568;9.024891034;1.590543856;315;True;False;False;1
5;1.925914501;28;16.23645511;512;32;50;-90.62363885;177;15.75686884;1.548210042;0.021158648;680.3547364;0.192163377;6.203115617;2.82426858;231;False;True;False;1
4;1.821282108;60;27.92801421;512;32;100;-99.47241816;447;24.17450595;4.859551138;0.017215499;311.0039639;0.093973181;16.26618791;1.154344803;268;False;False;False;0
8;1.640092238;28;31.40331248;128;128;50;-95.42868656;285;17.22705164;4.593935318;0.032100139;758.4471499;0.132457817;7.112505337;1.071191987;294;True;False;False;1
6;0.695841288;28;18.91921779;512;64;200;-72.15806527;443;18.56820864;2.662425186;0.018618777;331.2080254;0.123943786;6.49829477;2.760521673;427;False;False;True;0
2;1.172717988;60;28.93661114;256;256;50;-55.4063435;352;22.38296235;4.559320252;0.018014034;257.6821266;0.076507391;13.42508311;2.011841978;155;True;False;True;0
4;1.783429006;150;17.37680873;256;32;200;-85.64176174;112;14.12854159;2.571850589;0.049621276;721.6012139;0.094372253;11.17227068;3.733443179;399;True;False;False;0
4;1.490300577;100;17.47142838;256;32;400;-83.61263871;398;11.12803043;8.639121275;0.042069897;858.5085215;0.022221502;15.72652008;3.896963147;177;True;True;False;0
6;2.963356561;28;12.67642946;128;32;400;-94.21971947;175;20.61675968;3.683753901;0.039931073;533.3855029;0.161182816;12.30523088;4.581614898;498;False;False;True;1
6;0.409319258;60;21.00145116;64;64;400;-80.56845272;150;17.24517783;6.387079151;0.041762425;578.2526138;0.055752667;11.38001894;4.042730054;283;False;False;False;0
1;2.085433662;28;28.24279766;512;64;200;-98.13891477;374;23.44756376;5.525587558;0.048756915;372.4728134;0.097500193;11.38250673;1.192976493;451;False;False;False;0
8;1.212956304;60;33.50552014;256;128;50;-54.11996519;248;24.74020073;1.466938698;0.032931068;545.1562136;0.101317939;18.07814571;2.486492041;475;False;True;False;1
6;1.284598845;100;25.0949248;256;64;50;-66.34443259;318;15.98664026;9.480103475;0.018809755;218.7846982;0.11653523;10.92838476;2.092093407;248;False;True;False;0
3;2.152793297;100;31.57838844;64;256;100;-50.46255953;221;16.23158524;5.745033804;0.044488386;960.2477467;0.165396561;10.00095692;2.544529799;267;False;False;True;0
9;2.077308454;150;30.56236623;256;128;200;-55.85884187;310;16.11943903;3.925518791;0.039709229;820.3245883;0.141457399;10.07802616;1.640302636;143;False;True;False;1
2;2.973767981;60;14.33357632;512;128;100;-76.35047032;379;14.86831165;2.423139127;0.026572332;701.1757547;0.135981979;7.949011952;1.390816415;436;True;False;False;0
8;0.385182868;60;22.14543572;128;256;400;-74.01574844;125;21.72530647;4.046739713;0.02894278;584.3749345;0.110081644;17.91033276;3.08393817;176;False;False;False;1
3;0.312328948;150;12.92308839;256;256;50;-90.47119767;272;21.38493644;1.184604427;0.026450096;812.9522226;0.028231593;7.199462225;3.881525243;291;True;True;False;1
5;2.173016451;150;27.05382904;512;256;200;-76.89803286;255;17.17967306;4.272023398;0.047197686;545.2815156;0.08638161;18.62916107;3.807643608;189;False;True;False;1
6;1.735160751;60;33.74749171;256;128;100;-54.84860633;337;10.66991825;5.783373346;0.023741264;369.9765173;0.191890202;9.252015829;2.803777289;467;False;True;False;0
6;0.822482;150;13.42723645;64;128;100;-97.45732882;475;14.64338952;8.846796213;0.048539371;244.3368117;0.199154134;18.49140233;3.089115945;281;False;True;False;0
4;0.238258107;100;28.34707827;256;128;100;-56.82215985;181;14.3845457;7.186369759;0.046410871;682.8270299;0.148794648;16.86230985;3.06531489;439;True;False;True;0
3;0.256974749;28;25.80595377;256;256;50;-82.95260992;455;22.16630869;2.004240818;0.035220846;936.4831705;0.053227843;13.72981281;3.766281511;503;True;True;False;1
4;2.682572624;100;24.59012593;128;256;50;-55.02436175;372;11.3136336;2.32971692;0.033192871;238.2566982;0.029359223;15.04205006;1.191700704;473;True;False;True;0
1;0.575601974;150;19.75300587;64;32;50;-52.95600468;167;22.08513069;4.85311031;0.024803571;262.0162405;0.088805228;9.887661362;3.839584435;277;True;False;False;0
4;0.970114686;60;18.87829119;64;64;200;-66.45675565;143;20.03775478;2.761369765;0.010733536;490.2454301;0.172748661;13.61342921;3.328803603;503;False;True;False;0
1;0.679969207;60;11.13122973;128;32;50;-66.77881067;160;20.98662189;1.250647998;0.015104927;826.2094131;0.147154206;9.386043511;1.792434859;200;True;False;True;1
1;1.064988917;100;15.44771771;256;256;200;-77.36228311;222;16.48319781;8.245133921;0.040169253;364.5304561;0.177939525;11.03409221;1.196235415;196;False;True;False;0
6;0.208271528;60;10.37942206;512;128;100;-58.22298877;448;20.19588694;1.175703136;0.028861605;328.5216322;0.1269975;16.46993833;1.434111162;304;False;False;False;0
5;1.557179373;150;24.53542764;64;256;100;-51.91936208;295;19.13543417;8.476206447;0.015993525;657.9696623;0.034762389;8.658988457;3.098765366;481;True;False;False;0
4;0.202837691;100;12.6463309;64;64;400;-61.24590998;429;21.53470293;2.296935667;0.020558434;582.0533037;0.031811234;17.58269024;4.03363412;129;True;False;False;1
3;2.401069523;60;31.82548485;256;32;50;-68.90316331;422;16.70154752;9.772105697;0.047913476;154.198328;0.019120437;10.6382428;2.338629148;436;True;True;False;0
1;0.701136246;28;23.07857552;256;32;100;-69.66035521;210;17.09238437;6.434865206;0.024685313;173.3409796;0.117745194;12.98254941;2.516495643;246;True;True;False;0
6;1.620035744;28;27.49224773;64;128;50;-57.52650492;357;19.65364334;7.614846745;0.046307278;678.7116822;0.056148385;19.12940731;4.73658566;134;True;False;True;0
2;2.640237263;150;20.2714273;256;32;200;-72.93981171;188;11.6211624;1.994352652;0.022185433;518.6112392;0.149532892;15.21883445;1.852052336;382;True;False;False;0
8;1.952632107;60;24.01449523;512;32;100;-59.80700569;297;16.54366673;8.758936661;0.031728804;973.8794724;0.140387488;14.68406169;1.414997698;202;True;True;False;0
5;1.59887336;150;33.56647942;64;256;50;-74.55573724;381;24.57926268;8.552731086;0.010819083;710.6782697;0.070441041;15.67411591;2.373640455;478;True;False;False;0
7;0.973001259;100;12.06835099;512;32;100;-96.87778625;299;10.5632848;6.876934584;0.030875004;109.0662958;0.043592317;18.77167008;3.983688478;322;False;False;False;0
2;0.999005739;28;16.3484443;512;32;100;-80.80264955;198;14.74007084;5.520473781;0.03547768;532.9169018;0.029456066;8.727705638;3.504309164;314;True;False;True;0
8;2.008460866;100;29.49970817;256;32;50;-77.77795212;126;14.71164729;7.493402558;0.019372204;473.0031415;0.150089902;14.19861809;2.663181757;130;True;False;True;0
2;2.982418084;60;12.46843017;512;128;100;-92.91913775;188;19.50196179;1.053353938;0.033157487;196.042474;0.095583789;11.00590782;4.859010131;311;False;False;True;0
4;1.98551757;150;11.8915276;256;128;100;-94.87518354;245;11.58700539;6.331966799;0.035886711;930.8879523;0.071470684;5.177829398;3.939985753;462;True;False;True;0
1;1.673350252;150;19.03853497;128;256;100;-73.22675252;281;19.42816046;8.626655214;0.037475443;824.5101692;0.172764073;6.879513446;1.247445698;400;False;False;False;0
5;2.191951531;150;12.30419896;256;32;100;-95.74281817;356;11.42560361;4.212098985;0.041056133;307.0773176;0.122786511;9.874878429;3.978525775;495;False;False;True;0
9;1.395616837;100;24.62696106;512;128;200;-84.85274161;288;11.42430471;1.974604208;0.02245357;330.382683;0.108420444;13.47499957;1.096154224;179;True;False;True;0
1;0.180427028;28;15.65688127;128;128;100;-62.7701512;339;20.92275036;4.787895248;0.032711078;128.816248;0.151242041;18.22212165;3.601293292;390;False;False;True;0
9;1.686890448;100;32.39244908;256;256;400;-51.77839102;458;14.86202761;7.543940042;0.049263161;367.0457064;0.164960797;16.86671177;1.841931345;495;False;False;True;0
8;2.872875854;100;29.58750202;512;64;100;-64.10647097;486;24.66134422;1.965710893;0.045925767;626.159808;0.1403539;13.30000509;3.785768836;260;False;False;False;1
6;0.525908827;60;27.49263015;64;32;50;-50.36872258;295;10.56029405;2.854437042;0.048106617;478.7590495;0.093601201;6.108056269;2.239118267;352;False;False;True;0
7;2.070014672;60;25.42360068;64;128;400;-65.08310144;396;16.67659996;2.327966621;0.025445456;972.3299173;0.082066771;9.288594356;4.492025232;437;True;False;False;1
3;0.602801066;60;31.58664326;256;256;200;-85.31027647;264;11.69703907;8.1725298;0.041477124;150.4721523;0.156616338;10.50062972;2.347655346;188;False;True;False;0
1;1.607483053;28;15.57655154;256;256;400;-66.39737297;406;15.2706845;1.566033602;0.034795918;632.287143;0.108402361;14.32575778;3.478783422;492;True;False;False;1
5;0.290029349;28;31.82772107;64;256;400;-64.89216174;370;24.97333676;7.179278519;0.013309403;872.4784965;0.143833355;5.973854345;2.143710239;143;False;False;False;0
2;1.351112809;60;29.73730746;512;128;400;-81.41365077;107;23.33263768;4.298112287;0.042959216;532.6668212;0.17917577;12.95290332;4.668886181;356;False;False;True;1
5;2.268489987;60;28.70402066;512;32;50;-99.11430747;137;10.72486613;7.802121186;0.037084051;102.6664485;0.184019221;18.52196864;4.123983924;322;False;True;False;0
8;1.042714573;28;24.03139195;512;64;50;-64.84001076;213;18.44883766;9.679450769;0.017956694;318.5213498;0.062765971;15.58149044;1.973211505;378;False;True;False;0
9;1.994735173;150;16.15610402;256;32;50;-98.91499524;438;19.71733457;2.030907696;0.013189542;391.3920781;0.045699091;16.9561521;4.79518685;430;True;True;False;0
2;2.386349882;28;20.5886979;128;256;200;-68.4405961;155;13.14301936;3.82946537;0.043480885;969.3950451;0.059644598;15.22513473;2.428630358;175;True;True;False;0
3;2.781533458;28;29.83926636;128;256;50;-91.81917556;458;12.1765836;8.291128849;0.013156073;920.5959537;0.152760636;8.098836683;3.607459791;362;False;False;False;0
3;0.703926246;28;10.79446211;128;64;50;-71.71982361;237;23.56571702;3.395425474;0.013654155;954.2534546;0.080311027;6.657257301;3.971412924;248;False;True;False;1
1;1.197947747;60;29.55126923;128;32;400;-74.80434873;201;24.53224662;2.936085373;0.027096332;843.1826119;0.042943963;17.4423601;1.091608646;447;True;False;False;1
8;0.45724804;150;16.00176851;128;256;50;-99.32431788;433;24.87839286;8.428401801;0.015391913;416.4829607;0.028693244;15.43256654;4.835869385;177;False;False;False;0
6;2.977450506;28;13.60773002;256;256;100;-81.85670915;276;21.84642661;9.883741276;0.046546784;915.2887799;0.072189506;13.62592338;2.377765224;168;False;False;False;0
8;2.781002904;60;12.89253295;256;32;50;-69.94544163;268;19.95253104;6.011925311;0.028811357;983.5160553;0.035865924;7.839242975;1.759115574;149;False;True;False;0
9;1.619871391;100;10.6812503;128;256;200;-57.56967241;438;15.18595378;3.502438735;0.032766039;415.064181;0.039710986;14.05017448;4.402831167;498;True;False;True;0
5;2.526099883;100;23.08966213;256;32;200;-55.56789431;385;12.57097468;4.587093654;0.047124244;334.5003694;0.139937955;5.469826778;3.811597131;309;True;False;True;0
3;1.562873932;28;15.45649682;256;256;100;-75.8075015;360;11.18470899;2.531172946;0.031210529;592.2246635;0.013749098;6.782587016;1.34697309;132;True;True;False;0
5;1.870757064;100;34.73579414;128;32;200;-63.57887564;474;20.39946203;7.85698551;0.024143646;268.4369733;0.03233512;9.678352247;1.468178326;272;False;False;True;0
5;0.267373296;150;24.3609189;512;64;200;-84.17727117;322;21.77085123;7.96126616;0.041886204;129.3617993;0.170429443;11.65607416;3.860767483;484;False;False;True;0
5;2.265811261;100;13.44713173;256;256;400;-82.89067971;298;22.39680479;8.876088931;0.027714008;951.248054;0.170533676;6.808467437;1.299133024;205;True;False;False;0
3;0.383140451;100;27.21906352;512;64;100;-90.27682404;310;23.70647505;1.239423072;0.022738777;933.1665692;0.072556261;6.799102758;4.66870174;358;True;False;False;1
4;2.478202891;150;32.44358916;256;256;400;-71.9025945;386;23.19894345;6.057832075;0.038929178;246.3884684;0.026711072;15.88840491;3.966160548;424;True;True;False;0
9;2.346084263;28;28.62948738;256;256;400;-84.27179245;279;24.99611908;2.928298909;0.042064227;466.9662222;0.143944363;13.5457911;2.341968824;475;True;True;False;0
9;2.126234093;28;11.91099653;128;128;50;-95.78145518;349;13.66096016;4.067947139;0.041668647;847.9326819;0.078425021;13.00612971;2.451755117;336;False;False;True;0
2;0.108481142;150;32.39710453;256;32;100;-65.74969567;330;21.44961423;8.064600538;0.049106977;694.9002689;0.018638279;11.78651743;3.025984385;290;True;False;False;0
8;0.909385068;150;29.84823465;64;64;50;-64.61233962;122;18.79689269;2.728302871;0.041466678;455.3087583;0.039987126;19.6481466;2.443877655;295;False;True;False;0
8;0.78933771;150;13.9575975;64;64;50;-82.00037906;147;13.91867699;6.745075755;0.040797337;769.7538975;0.036070814;5.747004243;4.133874206;405;True;True;False;0
7;1.080409222;100;11.29464722;128;64;400;-96.16383003;208;24.72857983;6.891095721;0.04429941;907.3426494;0.121932105;7.709407642;4.898947776;364;False;True;False;0
8;0.26292824;150;23.93276438;512;32;200;-78.68511413;395;23.46847157;9.586845234;0.010007408;933.5424975;0.180642341;14.71261636;3.338086062;303;True;True;False;0
3;2.810873469;60;13.90089528;512;128;100;-77.8832271;105;11.92773503;7.976448357;0.024497256;440.9646507;0.160683686;7.045484808;2.784149311;180;True;True;False;0
6;1.661406722;100;30.86477381;512;64;200;-66.56645576;137;10.39237513;8.232716324;0.039504124;256.2046121;0.113838049;13.84071407;1.891096561;476;True;True;False;0
1;0.916572932;28;18.95836642;64;32;400;-84.22918044;268;20.32496143;5.784406741;0.03398876;921.5549724;0.090209481;13.51641838;3.613733677;137;True;False;True;0
7;1.190944551;28;32.82231112;512;256;400;-65.87003601;455;19.06195943;2.681027264;0.01710288;183.2999013;0.127548575;19.56507775;3.742307447;273;False;False;False;0
1;1.341607622;28;24.1422043;512;64;400;-56.42557291;382;24.03723436;4.830070291;0.022149324;749.5195521;0.094324421;18.25079731;3.740762428;354;True;False;False;1
9;1.801783;100;14.56680961;128;64;400;-88.12569788;302;13.51007931;5.945406162;0.023471704;226.4475834;0.056758833;19.18330016;1.107940143;363;False;True;False;0
1;1.547038283;60;13.48997168;512;128;400;-51.05402219;424;11.26581922;7.105773265;0.032713124;450.4481692;0.139047517;6.704035542;4.596488403;369;False;False;False;0
1;2.75817592;150;24.41181094;64;64;400;-80.68159314;412;13.88823001;6.469382006;0.043263932;470.4001719;0.17591635;18.02222656;2.352426254;432;False;False;False;0
7;1.490890449;150;29.0470903;64;64;200;-86.63706574;372;10.28391461;4.54580046;0.047299671;242.8821236;0.080845363;6.936359926;3.97666305;198;False;False;False;0
2;2.976474044;28;29.53764119;64;256;50;-78.92444087;343;10.53839127;3.387817963;0.040003697;930.4132906;0.169892309;14.49398268;4.039227628;285;True;True;False;0
5;2.554274873;28;16.89393511;128;32;200;-95.2801262;426;23.72286709;2.514077589;0.043718016;102.4013512;0.091905589;15.80117241;3.602219915;146;False;True;False;0
8;0.625531543;100;15.10616897;128;32;100;-93.71470467;146;15.28024874;7.244608476;0.028803838;904.4276889;0.086253829;7.412802472;2.579466093;182;False;False;False;0
8;2.791785644;60;10.41890761;256;128;200;-79.27829765;348;16.16213502;6.808588069;0.025591013;895.4463911;0.015381628;14.48989064;3.433536867;342;False;False;False;0
3;0.349099194;150;26.97997878;512;256;400;-61.8777739;178;10.27557482;7.186352192;0.025708341;385.2672883;0.142102991;5.786907394;1.160794765;336;True;True;False;0
7;2.452349125;100;11.91420646;128;32;200;-54.98438802;209;14.0578267;4.352747075;0.034641541;733.8558429;0.16342548;9.398991286;4.047583169;148;True;False;True;0
3;1.14186988;150;20.51903004;64;256;50;-66.75910046;112;22.07088976;3.361670403;0.014969468;327.5280202;0.136075815;18.81737741;1.398354593;409;True;False;False;0
6;2.633922961;28;25.0420541;64;32;100;-94.73902224;494;19.2323644;7.837491958;0.033179767;782.896206;0.038758581;7.575967444;2.587003703;376;True;False;True;0
6;2.60417007;150;33.42772362;128;256;200;-66.39901189;479;21.30670902;7.962826555;0.036605314;605.0077676;0.029625759;5.979049887;1.414475151;155;False;False;False;0
3;2.4177762;60;17.79505342;128;128;50;-68.22860396;464;16.70820611;5.100547366;0.02755635;370.2029088;0.118843163;11.65517299;4.348297783;423;False;False;True;0
7;2.370091309;60;16.24430406;128;64;200;-59.71180409;189;14.64593833;6.507136763;0.048126687;460.2112783;0.086288088;17.75927313;3.201209574;338;True;False;True;0
3;0.914037417;28;26.35400386;256;128;100;-58.73756667;441;17.2421514;4.361676978;0.034328531;720.899859;0.091528579;6.15008573;3.763820481;412;False;False;True;1
8;0.242757849;60;25.4809758;64;32;200;-56.58984621;447;14.84606603;7.317524801;0.018799979;915.4877047;0.193882047;10.33303048;3.730328679;147;False;True;False;0
4;1.208940536;60;18.30274458;256;128;400;-79.29342427;379;22.58456645;8.52149437;0.02916865;217.6538649;0.147545308;18.49662252;4.366424927;147;False;False;True;0
1;0.520573545;100;33.20254589;256;64;200;-65.10678023;320;14.46510573;7.194099496;0.037016177;614.2275727;0.08823967;6.772333249;1.530277613;457;True;False;True;0
4;2.084853267;150;31.12155819;512;128;50;-86.58748205;172;19.89645461;5.613243642;0.022945165;328.3562795;0.013628863;9.660027589;3.638912562;247;True;False;True;0
7;1.03829918;28;15.59956365;64;32;200;-50.033186;333;12.05473333;5.127921635;0.013185664;821.2350249;0.016478183;16.67630917;3.300536218;224;False;False;False;0
4;2.926830603;28;15.97856364;64;32;50;-91.23328793;359;20.30299741;6.780876859;0.033337425;163.2135753;0.140112702;13.14816481;1.12358849;247;True;False;True;0
6;1.922916232;28;22.80750867;128;128;100;-99.49427842;212;23.69949567;7.118298024;0.047914807;720.0602112;0.169170364;17.48499711;1.805691635;152;True;False;False;0
9;2.467441691;28;29.33930254;128;64;200;-92.55956427;145;19.12874732;6.028564992;0.029402879;257.4514123;0.1444635;6.673930896;2.070286166;280;True;False;True;0
1;0.397574018;28;11.10100948;512;128;100;-61.20638552;373;18.3978307;6.624480476;0.046244363;636.7468766;0.087118673;18.80831257;1.290225502;372;True;False;True;0
5;2.586043447;60;27.33337884;256;64;100;-77.66081617;142;24.41677402;1.869298142;0.043400944;852.1233285;0.01591579;19.02367692;2.418879224;387;True;True;False;1
7;2.768271572;100;26.20589743;128;256;200;-77.62498761;307;19.41094833;9.565889645;0.015896511;779.5725959;0.19380631;7.329695302;1.108810035;131;False;False;False;0
1;1.461185756;28;15.7870024;128;64;50;-52.24885402;448;13.8932565;8.116957574;0.038326797;777.6485989;0.197403852;5.508131966;3.212733969;270;True;False;True;0
4;1.818758813;100;27.03382533;64;256;100;-54.0182546;202;14.38586536;4.365350827;0.027418621;566.060781;0.114379265;19.84762073;1.846003842;409;False;False;False;0
6;2.294429403;100;33.50457978;64;128;100;-84.44026311;223;20.57959964;6.065313499;0.020009853;901.6710327;0.023427483;12.23377388;2.148012422;462;False;False;False;0
2;0.524515882;60;11.16964612;128;64;200;-89.54709356;109;21.03154891;1.425920771;0.037477534;629.2946784;0.112784776;13.58113106;4.641886505;473;True;True;False;1
5;1.507698229;28;17.99130138;64;256;200;-57.5758895;428;14.55244348;1.371050326;0.039706429;925.7661717;0.179544309;14.238571;3.011267396;347;False;True;False;0
1;1.195989083;60;20.95441792;512;256;200;-54.69904645;286;15.18015967;3.257185016;0.017195853;591.870212;0.139197247;16.84502694;2.076055725;454;False;True;False;1
6;0.439121976;28;32.48150897;128;256;200;-72.92015386;130;24.86584763;7.207314781;0.046577787;555.3690067;0.146797954;17.17981954;3.393847033;287;False;True;False;0
6;1.102603267;60;34.05653617;64;32;200;-68.52881444;255;11.52928824;8.66932973;0.04004589;300.1177173;0.026144269;7.908878365;1.806685739;203;True;True;False;0
4;0.204516928;100;21.10288116;512;128;400;-87.15428577;159;16.06967543;6.03267292;0.04733502;590.3079886;0.030237211;8.54955111;1.297582743;226;True;True;False;0
8;0.077435721;28;28.7507103;64;256;200;-59.9598656;348;10.93671297;5.789194656;0.022682929;226.5263481;0.034196268;18.15249543;1.083625418;307;False;True;False;0
4;0.405498867;150;23.29152559;64;64;50;-68.39387858;486;22.31617543;4.620785804;0.047573401;882.7211811;0.181831598;17.29276407;4.806116182;254;True;True;False;1
8;2.889345335;100;23.44457337;64;256;100;-74.82432444;473;11.38518758;2.454381604;0.024740706;708.3026998;0.109911431;14.26429072;3.898443297;159;True;False;True;0
8;1.648588608;150;16.95248788;128;32;50;-96.9945722;369;20.11011035;2.065186912;0.01215879;994.2719036;0.160399268;19.92048739;4.199792593;392;True;False;False;1
5;2.897466483;100;15.42390615;256;128;50;-54.20325187;316;10.84725136;7.846117851;0.040518776;182.887685;0.031905339;16.02775915;4.923670913;461;True;True;False;0
4;1.297493635;60;17.20013365;64;32;400;-69.22742898;498;20.09282557;9.347531962;0.038140326;316.6054749;0.186252114;8.237551522;4.726514814;140;False;True;False;0
2;0.935448399;28;23.90820018;512;32;200;-90.36544527;101;22.6455542;5.124548947;0.03391644;889.4427438;0.166016997;17.69966096;3.947652795;507;False;False;False;0
3;1.518425589;100;10.72887965;128;32;100;-69.68069415;123;15.9823229;6.935010928;0.02959575;455.7286898;0.052705188;11.22098955;3.775948279;479;True;False;True;0
